  M    Peri. Node   Incl.  e      a 
 55.2  319.5  20.2   4.4 0.065  43.1
300.8  105.6 357.0   1.7 0.028  43.7
356.1   99.0 310.0   5.3 0.202  42.0
 11.5   60.6 326.4   3.2 0.206  42.1
190.1  198.2  11.5   9.4 0.151  42.0
  8.3   81.5 308.4   2.0 0.068  42.0
343.5  210.7 219.3  13.5 0.229  42.0
353.0   29.8  21.6   5.1 0.114  42.0
354.2  198.2 214.1  27.1 0.235  45.9
 35.3  114.6 238.8  10.7 0.136  47.4
331.4  196.4 261.7   5.9 0.341  47.4
335.8   73.8  17.1   9.4 0.316  47.3
283.3  132.7  19.1  15.7 0.289  39.0
 16.4   88.0 289.1   4.7 0.268  39.0
 65.6  316.8  13.4  14.9 0.043  39.4
  0.8  167.4 237.9   8.7 0.241  39.0
 81.2    6.6 298.3   3.8 0.126  39.3
 23.8    1.8  12.4   8.6 0.133  39.1
311.2  264.2 224.0  17.5 0.327  39.2
 75.0  284.3  18.0  10.8 0.219  39.4
 25.6   29.4 332.1   4.3 0.257  39.2
  6.2   15.1  19.4  12.6 0.259  39.0
289.7  110.4  19.8  13.5 0.178  39.3
 61.5  289.5  20.6  11.9 0.256  39.3
342.1   50.7  27.1  17.4 0.265  39.1
 37.2  334.6  10.8   3.2 0.262  39.2
348.9  179.5 241.7   2.7 0.171  39.3
 23.1  141.1 129.4  23.1 0.145  41.0
347.9   46.9 246.2   3.6 0.137  37.5
318.0  103.7 235.8   3.2 0.135  46.8
315.3  104.0 231.2   2.6 0.059  44.2
110.1   23.4 139.1   3.3 0.111  45.2
321.0  123.5 208.8   1.9 0.098  45.8
324.7  220.9 103.9  14.5 0.169  42.3
339.7  188.4 126.3   5.3 0.159  46.8
 83.9   42.7 152.3   3.1 0.052  43.2
164.9  216.6 260.4   6.8 0.078  43.9
238.7  303.4 121.2   5.7 0.252  44.2
 56.0   73.5 154.6   2.4 0.012  43.4
121.6   67.4 323.8  27.4 0.138  41.8
347.8   43.5 105.6   4.5 0.103  44.1
126.9  210.6 168.3   4.6 0.048  43.7
287.9    2.9 152.9  15.5 0.205  39.5
185.8  147.5 102.4   8.9 0.142  43.6
339.1  217.9 225.2  25.2 0.154  43.9
329.1  348.1 104.0   5.5 0.042  36.2
170.1   88.2 156.5  28.9 0.117  43.0
344.5  292.8 170.6  22.3 0.283  39.2
323.1   36.4  86.7  31.0 0.142  41.2
 38.2  213.7 174.8  13.3 0.136  44.9
344.8   21.1  24.9  36.7 0.111  46.1
 55.4   29.8 334.4   1.3 0.055  43.7
257.3   86.0  78.0   2.3 0.023  43.1
101.7  281.8  29.8  21.3 0.056  41.0
 32.0  305.6  76.9   4.3 0.022  42.9
126.8   28.9 230.1  18.0 0.112  41.8
331.2  233.8 210.0   9.7 0.175  44.8
 68.7  281.1  27.5  13.3 0.145  39.4
332.9   31.6  44.8   5.6 0.163  39.2
347.8  287.6 114.5   1.6 0.054  43.6
356.6  170.5 232.6   9.5 0.272  39.4
316.7  111.9 341.4  34.5 0.214  45.0
346.7  253.3 139.3   5.2 0.296  40.0
245.2  333.4 178.3  13.9 0.296  46.6
310.0  357.8  65.0  28.0 0.056  40.2
  5.0  311.9  60.8  17.1 0.118  46.6
273.5   42.4  68.4  19.9 0.082  40.7
 25.2  208.5 131.0  28.7 0.172  42.8
103.2  110.9 123.6  32.9 0.096  39.9
 96.3  192.4  25.2  30.7 0.249  49.4
233.7  166.7   5.2  30.9 0.179  41.9
360.0  158.5 132.5  14.1 0.267  39.5
119.0   75.7  48.0   7.7 0.072  45.5
324.2   10.4 306.3   3.2 0.228  45.3
 49.8  307.0 262.2  10.7 0.036  36.5
258.9  312.5  53.1  26.0 0.052  45.4
272.9   70.8 277.5  15.5 0.085  40.0
  0.0  310.2 280.2   3.9 0.030  44.4
  0.1  184.3  47.8  29.2 0.233  39.8
294.8  346.9 311.0  25.2 0.064  47.1
 32.5  207.7 331.1  23.0 0.072  39.6
318.9   54.3 127.7  18.0 0.047  40.5
290.7   41.5  74.7   1.3 0.017  42.6
 14.9  187.3  84.4  19.9 0.338  47.4
360.0   79.8 194.7   2.2 0.051  44.3
 56.2   83.1  21.9  29.7 0.154  44.9
179.8  238.9 129.1  16.3 0.038  42.9
351.4   57.4 143.3  20.4 0.164  42.9
292.4  261.3  32.0  29.7 0.367  43.4
229.1  341.3  53.9   9.4 0.065  44.5
  0.1  224.7  24.4   3.8 0.006  41.7
170.7  186.5 255.5  23.1 0.192  45.9
359.9  354.6 253.3  30.5 0.189  46.5
 67.5   21.2  60.0  16.1 0.300  43.9
323.5  127.2 144.0  22.0 0.438  43.4
 30.8    7.4 143.6  21.1 0.105  39.7
 66.3   53.0  41.4  18.5 0.163  46.5
 57.5   14.8  66.4  15.9 0.362  47.6
352.6  176.4  37.2  23.8 0.253  39.6
 72.3   42.9  51.0  17.5 0.110  46.0
229.8  218.5 103.2  13.6 0.151  44.9
 64.8  317.1 129.6  18.8 0.269  44.0
306.5   88.0 165.4  30.2 0.124  38.2
 13.7   77.2  98.5  11.0 0.249  49.6
290.8  198.5  82.9   9.5 0.162  47.2
217.0  279.8  61.0  11.4 0.268  44.3
246.0  169.7 141.2  16.1 0.115  43.7
265.4  217.3  75.2  11.6 0.123  44.1
346.9  128.9  95.1  10.6 0.204  39.6
109.0  328.7 111.5  11.0 0.043  43.7
 34.6   26.3 108.0  10.3 0.172  43.5
360.0  284.9 110.9  33.3 0.243  39.5
  0.0  287.5  97.5  32.1 0.015  44.8
  2.3  236.6 141.2  19.5 0.117  40.8
335.1   76.8 320.5  26.4 0.093  41.6
 24.4  121.6 106.5  14.6 0.305  40.2
353.6  200.0 312.5  24.6 0.063  41.5
360.0  207.2 279.9   0.8 0.163  44.1
180.1  146.5  59.1  28.1 0.077  43.5
  2.0  330.6  59.2   8.7 0.064  42.9
  0.1  358.4  16.3   8.9 0.253  39.7
345.5  219.6 212.0  16.6 0.440  47.7
360.0  356.7  16.3  25.9 0.170  46.0
348.0    6.8  44.4   1.8 0.235  39.3
  5.8  277.4 119.2  15.1 0.184  47.9
  0.1  320.6  55.1  11.3 0.112  43.1
310.7   31.6  72.5  22.3 0.129  41.3
308.4  180.5 232.1  25.5 0.065  38.7
 30.9   50.7 264.3  25.0 0.158  46.0
 15.2   71.6 264.2  20.5 0.235  45.8
359.9   80.9 263.2  12.3 0.124  44.7
359.9  121.2 221.8  14.2 0.099  45.1
179.8  324.8 198.7  22.5 0.042  44.6
118.1   23.4 211.2  21.1 0.041  40.3
 31.5  274.9  82.2  12.9 0.227  39.2
 33.1  188.1 131.0  19.5 0.196  47.4
 82.9  347.0 176.2  11.0 0.088  39.6
 22.7  138.2  89.0   2.9 0.068  44.4
 33.5   57.4  72.1  25.6 0.203  44.9
 69.0  343.8 106.7  29.2 0.159  45.7
283.6  214.4  26.5   1.4 0.089  44.1
360.0    0.3 140.9  26.1 0.080  44.6
180.0  182.2 138.7   1.5 0.016  42.9
360.0  167.0 333.7   1.1 0.029  45.3
360.0   51.4  85.0   2.7 0.026  43.2
360.0    5.6 131.1  25.4 0.145  43.2
 37.5  144.0 330.3   1.5 0.035  44.2
 17.9  358.2 133.3  21.9 0.220  47.3
285.0  236.0 356.7   1.2 0.080  45.5
360.0  171.3 328.6   2.0 0.181  45.2
360.0   22.2 113.4   3.1 0.021  43.8
  0.0   11.7 117.2  10.4 0.170  44.0
265.1  183.0  58.2   2.1 0.052  43.5
 84.8  231.3  62.5  32.8 0.236  39.2
360.0  341.7  89.0   5.4 0.263  38.6
360.0  276.8 153.6   1.7 0.105  45.0
360.0  282.5 140.1   2.9 0.218  39.3
360.0  193.5 188.2   3.2 0.143  43.4
  0.0  117.4 252.1  11.0 0.143  39.6
 50.8  257.9  65.9   2.3 0.037  43.6
360.0  183.1 162.5  24.1 0.133  44.0
360.0  198.9 147.6   4.3 0.012  44.7
360.0  186.8 150.0   2.9 0.034  44.1
 20.9  149.0 235.9  14.9 0.223  39.0
  0.1  290.8  97.8   1.7 0.108  44.2
301.4  110.6   8.5   4.9 0.269  39.0
358.1  170.0 233.9   1.1 0.147  36.2
360.0  177.5 188.9   6.9 0.196  43.5
305.8  294.1 174.3  27.3 0.209  38.3
354.1   68.4 310.3  25.0 0.251  49.5
356.7  182.7 186.9  31.4 0.290  47.8
336.3  120.6 269.0  15.7 0.074  43.0
 89.7   56.0 208.9  18.6 0.029  42.5
 13.5  207.4 175.8  22.5 0.260  47.6
 47.0   29.5 291.0   9.8 0.201  46.4
360.0  273.6  71.2   1.1 0.088  45.0
360.0  185.1 159.7  26.7 0.042  38.4
  0.0  247.8  97.4   2.9 0.029  43.8
360.0  187.1 157.3  20.5 0.131  44.6
  0.0  292.7  51.4   2.6 0.066  45.5
360.0  262.3  81.9   1.9 0.099  43.1
  0.0  170.8 172.7  19.6 0.125  42.9
279.3  328.5 136.9   2.7 0.073  44.6
 31.9  240.8 103.7   2.1 0.024  42.3
360.0  293.6  69.2   2.4 0.024  38.6
180.1    5.3 177.8  22.6 0.127  43.8
180.1  117.1  64.5   2.2 0.040  43.6
312.3  273.8 159.1   4.8 0.079  42.1
180.3  342.7 179.0  23.8 0.011  45.2
  0.0  318.2  20.9   2.6 0.161  42.5
360.0  359.9 337.5   2.6 0.064  44.5
360.0  180.5 156.7  12.3 0.195  38.1
180.3   19.6 119.1  14.2 0.012  44.7
360.0  345.1 331.5  19.1 0.005  43.2
360.0  178.5 123.9  31.2 0.015  37.6
360.0    2.1 300.0  31.1 0.111  45.9
360.0    1.1 235.8  39.0 0.139  40.4
 73.2  151.8 145.6   9.4 0.176  42.0
360.0  160.8 138.2   0.8 0.065  45.2
180.5   21.0   5.8   1.3 0.014  44.9
 11.1   93.7 144.3   0.3 0.068  45.3
 97.8  256.8 238.5   7.0 0.124  46.5
  0.0    5.2 206.9  23.9 0.081  39.5
360.0  179.8 308.8  12.8 0.119  36.5
  0.2  151.9  84.5   4.2 0.074  44.3
  0.1  163.5  72.4   2.6 0.013  41.7
  0.1  177.8  57.5  10.7 0.112  44.0
  5.1  126.6 115.7   1.8 0.097  44.4
 35.8  169.0  52.0   3.3 0.052  43.0
  0.2  356.4 242.5  30.2 0.127  46.1
  0.2  209.0  29.3   2.9 0.022  44.1
 60.7  129.3  46.2   1.5 0.069  45.8
360.0  179.4  61.5  49.0 0.038  43.2
  0.2   50.4 171.4   7.2 0.006  38.7
307.1  298.7  18.1   4.3 0.373  45.0
 27.9  149.2  40.7   9.1 0.171  46.6
 24.8  160.6 317.3   7.8 0.186  45.9
 35.2   70.3  41.1   1.8 0.036  45.8
 17.1  107.3  15.3   1.2 0.039  43.8
307.7   84.0 126.1  23.9 0.092  38.0
360.0   26.1 102.2   2.5 0.030  44.1
  0.1  179.4 308.4  17.9 0.099  43.6
360.0    2.2 125.6  13.7 0.121  43.3
  0.1    1.7 126.0  17.7 0.049  44.0
360.0    1.1  74.3  28.2 0.022  45.9
360.0   13.7  56.8   5.2 0.150  44.6
 61.1  316.5  39.8   1.5 0.250  39.3
 31.5  179.6 222.0  12.1 0.176  41.0
 16.0  185.7 246.3  34.5 0.186  39.2
354.0  224.6 179.3   2.2 0.239  42.1
353.2  321.3 101.6  13.4 0.183  43.4
 25.3  268.7  95.1   6.9 0.107  42.1
 64.3  266.3  66.2  20.2 0.094  41.1
360.0  190.8 148.2   4.1 0.057  44.0
180.9   15.7 142.8   2.0 0.181  45.8
360.0  210.9 128.1   1.1 0.084  44.9
360.0  358.5 340.4  20.9 0.042  43.8
179.6  152.7   7.1   0.8 0.012  44.0
278.8  253.3 188.5   2.6 0.077  44.3
360.0  211.8 132.7   1.6 0.089  45.5
  0.0  287.8  55.8   2.6 0.0    43.2
  0.0  311.7  31.7   2.7 0.0    45.7
360.0  349.7 350.8  28.5 0.135  43.6
 65.5  212.5  38.4   4.7 0.152  46.5
360.0   11.8 289.3   4.1 0.086  44.3
 36.5  326.9 302.0  13.3 0.227  43.9
355.9  168.9  96.1   3.0 0.054  44.0
353.2  196.6  70.6   7.9 0.074  44.6
346.1  228.6  63.1  27.2 0.249  47.6
334.0  235.5  63.7   4.1 0.099  44.9
345.6   35.3 238.4  20.2 0.112  41.7
360.0  203.6  24.3   4.0 0.039  45.7
360.0  185.5  42.5  18.8 0.092  43.2
106.4  115.6  31.8   2.1 0.067  44.3
 77.6   64.1  71.2   3.7 0.115  47.2
179.9  310.5  79.7   2.7 0.031  42.6
 52.2   34.2 137.8   2.1 0.031  43.2
360.0   68.2 137.5   2.2 0.048  43.6
 37.9   63.0 117.5   3.3 0.099  44.8
170.9  196.1 225.1  14.2 0.100  42.7
298.1  238.0  59.2   6.5 0.076  42.9
356.0  210.2 311.9  17.2 0.191  36.7
 53.6   88.8  37.7  24.7 0.270  39.6
111.6  261.6 174.7  12.0 0.166  39.4
360.0  159.0  41.1  26.8 0.112  44.7
360.0   23.9 155.5  19.5 0.124  39.7
353.2  134.5 128.9   3.9 0.261  39.8
202.9  329.4 354.4   0.7 0.018  43.1
 22.8  200.5   2.2   2.4 0.131  44.4
306.3  281.8  27.7  18.7 0.220  39.6
360.0  154.0  36.0   7.5 0.129  43.8
360.0  182.4   5.0  12.5 0.111  43.0
328.0   63.4 158.9   3.8 0.025  44.2
360.0  349.5 157.8   3.0 0.146  43.2
 49.9   28.9 100.3   6.7 0.225  39.7
172.3  226.1 128.5   1.1 0.068  44.6
355.2  210.6 333.5  10.4 0.166  36.7
125.4  291.2 109.3   2.5 0.030  43.8
 89.7  307.0 166.7   4.5 0.140  45.3
180.2  177.1 190.3   7.5 0.089  44.0
330.5  147.3  94.0   3.4 0.075  45.9
353.6  108.0 113.3   5.6 0.027  43.8
141.2   11.5  47.9   3.1 0.077  45.2
327.8  251.8 357.1  10.3 0.244  39.8
  0.0  356.0 166.4  21.7 0.0    43.1
179.5   13.2 329.6   1.8 0.081  43.9
 71.8  275.5 149.2  40.2 0.131  39.5
279.0  227.8  28.4   4.8 0.115  44.1
  0.2   17.9 138.7   3.3 0.0    46.8
180.9  349.6 337.1   0.6 0.088  45.1
249.9  288.2 342.0   3.3 0.071  44.2
 42.1    5.7 109.4   0.4 0.064  36.5
  1.7   46.2 103.9   3.1 0.049  42.8
196.1    0.9 317.9  21.4 0.150  39.3
 15.9   70.1  50.3  11.7 0.224  47.8
325.9  122.9  59.1   2.1 0.081  44.1
356.3   31.4 116.1   8.0 0.046  43.7
 39.4  332.9  72.0   1.6 0.101  44.9
307.2  276.5 222.5  11.1 0.345  39.6
360.0  356.1  21.0  21.2 0.136  39.4
  0.0  282.6  93.4   1.7 0.0    46.9
360.0  288.5  75.2   0.6 0.045  45.6
 85.5   62.5 246.5   0.8 0.215  43.4
315.4  273.2 219.3   5.2 0.256  42.0
 47.2  328.0  36.2   3.7 0.125  46.1
 12.2  279.8 125.0   0.5 0.069  43.7
153.3  205.8  50.4   1.7 0.076  43.9
 21.1  183.4 207.8   0.8 0.092  45.2
 35.4  333.9  40.1  11.6 0.279  39.3
 19.4  180.4 222.4  10.2 0.273  39.1
 65.9  290.1  44.5   5.8 0.207  39.2
358.2   29.3  46.5  24.0 0.185  39.2
360.0   97.2 320.8   3.1 0.180  39.3
  0.0  178.4 238.6  32.0 0.0    44.3
360.0  183.1 225.4  19.1 0.233  39.2
 25.3  311.8  67.5   1.5 0.326  47.4
  0.0  309.7 123.1   1.1 0.0    43.9
278.4   13.5 168.8   4.5 0.194  39.3
180.0    1.6 226.6  13.0 0.078  45.5
359.9    8.9  38.2  21.1 0.122  43.8
359.9    8.4  35.3  23.3 0.228  39.3
  0.0   14.8  21.1   9.9 0.286  39.6
 83.3  245.7  53.0   3.4 0.134  43.4
 79.2  270.9  26.6  12.9 0.212  39.1
 70.7  290.6  23.6   7.4 0.104  44.2
  0.1  342.0  35.3   4.6 0.249  39.4
  0.1  211.8 158.6   2.3 0.0    45.9
180.0    5.5 184.8  15.4 0.278  47.8
 10.6    6.6  14.1  10.3 0.215  39.3
  0.0   83.5 326.3   5.3 0.129  39.4
  0.0    1.4  46.8  18.7 0.114  39.4
163.4  204.9  54.7   3.5 0.041  42.6
  0.0   65.0 335.0   1.8 0.074  43.8
  5.6   36.0  36.4  16.3 0.207  36.4
  0.0    8.5  43.1  32.0 0.189  39.5
348.8  201.9 250.2   9.8 0.273  47.4
 14.4  356.0  14.7   7.1 0.368  43.2
325.3   80.4  45.9  20.7 0.155  34.3
344.8   48.6 358.9   1.0 0.261  43.4
 30.5  332.9 319.9  27.1 0.237  48.5
 24.7  352.7 317.8  24.1 0.085  40.8
 35.5  152.4 130.0  23.4 0.285  40.1
124.8   74.9 120.1   3.7 0.101  44.3
166.1   76.3  81.3   1.9 0.060  43.6
 33.9  313.9 329.2   4.3 0.157  46.1
341.4  321.2  23.1   1.9 0.014  42.8
120.9  198.9   0.1   1.2 0.043  43.0
180.0   81.0  35.9   2.3 0.087  44.9
  0.0  293.4  53.3   3.6 0.0    45.9
  0.0  277.3  69.5   2.4 0.042  44.3
342.3  226.9 159.6  33.0 0.106  38.8
  0.0  262.2  55.0   5.1 0.124  43.6
  0.0  192.0 124.8  10.3 0.084  44.3
308.0  273.8 147.4  20.2 0.106  44.9
348.3   42.3 297.3  10.8 0.188  45.8
 54.8  170.3  81.5   1.6 0.100  44.3
 40.9  204.6  65.4   3.0 0.058  43.7
349.0  184.5 198.1   2.8 0.129  43.6
181.3  184.1 342.2  32.0 0.128  44.7
181.3  111.7  23.3   5.0 0.033  44.9
 32.6  151.7 140.1  24.5 0.246  48.0
329.9  236.9 110.7   9.7 0.126  43.7
293.3   89.8 289.1  22.9 0.054  38.6
 10.2  183.0 123.4  21.2 0.308  48.9
  0.1  249.9  39.2   2.8 0.0    43.6
  8.0  192.4 110.2  27.2 0.178  47.4
222.8  337.4 109.7   3.6 0.077  45.0
183.3   31.7  87.2   2.2 0.038  43.2
 25.7  345.2 288.3  12.2 0.300  39.5
 88.6   63.0 124.7   3.1 0.074  46.7
289.5  269.9 101.1   6.6 0.126  44.2
 17.3  306.1 283.9   1.7 0.299  48.2
 12.6  199.5  38.5   5.7 0.330  48.1
136.6  220.9 238.0   4.5 0.137  42.6
344.8   45.8 236.6  24.4 0.242  47.3
137.9  227.4 232.9  35.1 0.113  41.0
 27.3  278.9 299.1   1.0 0.029  43.6
  2.5  276.0 329.0   0.1 0.071  44.4
 44.7  263.6 292.6   1.2 0.055  44.7
176.6   72.9   4.7   2.1 0.010  38.5
 10.1    6.9 240.5   5.6 0.243  39.6
304.4  284.6  43.9  17.1 0.220  39.7
357.0   60.7 173.9   2.2 0.192  48.0
347.5  218.4  32.8  11.6 0.237  46.2
138.2  247.5 195.8   1.2 0.074  36.6
 58.3  318.5 202.4  16.7 0.076  42.4
340.3  180.6  69.0   1.9 0.086  44.2
299.7   92.7 222.3   8.6 0.061  43.5
  1.3  187.3  56.3   3.6 0.031  44.5
 16.2  163.8  62.8   3.1 0.105  44.6
222.9  224.2 159.0   1.3 0.025  46.2
 17.5  157.2  68.5   1.4 0.168  46.8
352.7  188.4  62.6   2.7 0.236  39.6
 89.5  264.1 203.2  22.6 0.243  39.5
349.2  220.1  25.7  13.3 0.158  39.9
  9.8  194.4  25.1  12.6 0.203  39.6
  8.4   19.6 228.9  16.2 0.159  39.7
 17.7    3.5 197.9   9.1 0.163  39.8
334.1   81.0 197.8  16.6 0.235  39.9
339.6  231.8  18.7   9.3 0.246  39.9
114.3  256.9 192.1  12.2 0.181  39.7
  0.0  107.9  84.3   1.7 0.038  43.7
334.1  209.5  37.3   3.5 0.146  45.6
180.5  237.8 129.5   2.7 0.159  44.4
  0.0   38.8 122.5   5.5 0.061  44.6
305.6  107.9 171.9  10.2 0.038  43.8
359.9  136.3  44.2   3.2 0.041  43.7
275.7  293.7 352.8  47.6 0.131  44.0
  0.0  174.5 354.5  43.8 0.0    43.3
134.1  306.1 105.6   2.3 0.029  43.3
  0.0   78.0  92.7   2.2 0.0    44.2
360.0   53.2 116.9   5.9 0.089  44.3
360.0  115.2  67.5   2.0 0.038  43.8
  0.2  150.2  30.2   3.7 0.063  44.3
360.0  220.6 309.1   1.0 0.059  45.3
360.0    7.5 162.3  18.6 0.101  43.6
234.2  151.3 134.7   3.5 0.094  46.5
360.0  135.0  32.6   3.1 0.023  43.0
  0.1    2.1 109.5  13.4 0.115  43.1
  0.1  178.0 255.4  10.9 0.156  39.5
324.5   57.4 112.1   4.9 0.044  43.5
331.5   67.7 109.9  15.6 0.221  47.0
 29.1  326.9 126.5   4.9 0.158  46.7
227.1  340.3 283.3   1.7 0.028  43.5
275.2  129.9  86.6   3.7 0.027  43.5
355.1   31.5 104.5   9.8 0.052  43.4
 53.1    2.6  66.1   0.9 0.078  44.0
183.8  203.1  66.3   2.8 0.008  44.0
 91.0  283.6  73.0  23.5 0.054  40.8
226.0  323.0 262.2   2.5 0.002  38.6
285.9  287.5 250.2  19.7 0.145  41.5
  9.6   45.6  31.5   1.4 0.075  43.4
359.8  265.0 112.8   6.6 0.186  38.5
  0.1  256.3 138.3  21.6 0.253  39.4
 29.7  226.2 179.3   4.5 0.232  39.1
360.0   90.2 357.2   5.1 0.077  44.2
  0.0  340.9  72.7   8.3 0.0    45.9
 70.4  311.4  84.1   3.8 0.036  44.0
360.0  103.0 340.7   5.8 0.237  39.3
  0.1   52.4  43.0   5.9 0.0    46.3
360.0  305.9 118.0   2.6 0.051  44.0
 46.5  343.7 341.3  20.8 0.208  47.0
  0.0  222.7 171.1   3.0 0.060  43.9
  0.0  347.2  61.6  22.2 0.137  43.1
  0.0  347.2  46.2  10.5 0.124  44.0
 62.8  120.9 235.7  11.0 0.214  39.1
  0.0  192.6 219.0  16.6 0.132  39.4
348.7  256.1 211.1  17.6 0.292  39.1
  0.0  296.5  96.7   3.1 0.124  39.5
  9.2   24.3  27.2  13.0 0.412  47.4
  0.0  345.1  63.3   5.0 0.188  39.3
341.0   75.1  23.5   0.9 0.105  44.7
  0.0  188.9 223.5  18.4 0.188  46.0
  0.0  288.5 120.7   3.9 0.075  44.9
180.0  165.6  62.9  13.0 0.109  43.2
  0.0  199.9 173.8   7.4 0.068  43.9
359.2  329.4  88.4   7.1 0.098  43.4
  0.0  354.1  58.6  30.9 0.127  44.7
  0.0  169.8 242.4  18.5 0.135  43.4
  0.0  207.5 202.7   7.7 0.110  45.9
  0.0  351.9  42.7   3.9 0.087  45.1
187.0  195.0  28.3  19.3 0.060  46.8
179.8    5.6 232.2  11.2 0.149  46.7
263.5  318.4 225.9   5.4 0.135  44.9
 46.8   15.6 358.2   3.5 0.159  48.9
  0.0  202.0 212.5  10.6 0.0    46.5
  0.0  347.4  46.2  11.7 0.0    44.6
  0.0  168.6 226.3   2.1 0.0    44.2
  0.0  201.1 181.1   3.4 0.0    44.1
166.9  204.4  51.1   1.6 0.067  42.5
  0.0  181.1 223.5  23.5 0.0    44.9
144.1  252.6  36.1   3.1 0.002  42.4
329.6  229.9 255.3   7.8 0.043  43.3
173.9  206.7  67.5   3.4 0.069  42.9
 37.5   11.0  37.2   1.0 0.083  44.2
 30.9  167.2 251.4  28.0 0.088  39.2
 67.4  117.4 175.7   8.4 0.167  39.3
  8.1  191.3 176.3  28.6 0.078  42.5
 59.3  111.2 187.3   6.6 0.276  39.2
 77.0   82.3 215.4   1.5 0.043  42.3
360.0  146.5 182.3   2.9 0.032  45.3
138.0   25.9 158.1   6.8 0.254  49.6
209.2   44.1  94.3   4.2 0.043  42.9
 40.9  316.4  13.7  11.4 0.107  43.8
169.4  184.7   0.7  16.0 0.120  42.5
 20.1   14.1 326.0   2.7 0.059  42.9
 62.2  213.3  95.9   2.9 0.037  43.1
104.2   99.9 157.5   9.5 0.136  39.2
306.1  297.1 109.7   3.4 0.057  38.1
 30.0  331.3 351.9  27.7 0.250  43.5
359.9  346.2 359.2   5.2 0.272  39.4
298.1   99.2 347.1  32.9 0.350  39.4
  0.1    3.7 351.1  25.6 0.139  43.6
 44.2  170.3 146.3   0.2 0.082  44.0
356.5  162.0 195.8   3.8 0.140  46.0
 34.6   13.0 273.0   3.5 0.185  46.6
281.4   48.5  58.2   5.4 0.069  38.6
  0.1  319.0  30.8   6.0 0.138  43.4
 27.2  184.7 141.1   7.1 0.132  45.2
 30.4  303.4  18.8   4.3 0.108  42.4
  0.1  343.4   8.6   2.9 0.090  45.2
358.5  187.1 164.6   1.5 0.008  42.9
269.6  345.2  83.7   2.5 0.038  44.2
318.2  341.4  30.9   2.2 0.016  42.5
 64.7  234.3  60.0   2.2 0.035  42.8
 50.8  286.2  13.8   3.5 0.049  42.9
 46.9  224.0  80.7   2.2 0.033  43.1
  0.1  359.3 336.8   2.6 0.0    43.4
148.4   80.8 136.8   6.5 0.198  39.1
  0.0  161.1 151.0   6.4 0.0    43.5
195.5   43.2 104.1   3.8 0.052  42.7
167.5  103.0  61.2   3.2 0.022  43.7
287.7  310.4 138.1   2.4 0.052  43.7
  0.1  102.5 229.1   1.8 0.008  43.3
  0.1  204.9 140.9   2.4 0.0    45.8
 44.4  331.4 237.3   7.0 0.178  47.6
  0.0  218.5  21.5   3.2 0.127  39.4
360.0    1.0 231.3  19.4 0.206  39.3
  0.0  125.8 122.8   2.3 0.041  42.9
178.4  349.8  79.9   4.8 0.117  45.1
  0.0  176.6  55.0   6.8 0.0    43.4
  0.0   35.2 217.7   1.9 0.120  44.8
234.3  131.7 228.7   1.8 0.037  44.2
178.4    1.3  19.1  37.9 0.187  46.6
  0.0  163.0  35.6   3.6 0.116  45.2
  0.0  161.5  36.6   2.0 0.066  44.4
180.3    8.7   8.8   8.6 0.195  46.1
359.9  165.6  30.7   6.4 0.075  43.4
 54.9   98.5  15.3  22.2 0.250  39.6
 21.1  154.3  39.2   1.4 0.092  44.3
323.9  221.0  36.3   2.1 0.039  43.9
 38.9  124.8  48.1   1.4 0.197  39.6
 34.4  169.4  10.0   8.9 0.107  44.5
 37.5  139.6  34.4   5.6 0.181  39.7
 16.7    4.7 199.7  27.6 0.177  39.7
 14.0  144.1  57.1   2.5 0.010  43.9
 83.1  266.7 197.5  29.5 0.222  47.4
121.9  294.0 163.4   5.9 0.048  45.8
  0.0  199.3   2.9   6.5 0.051  44.4
360.0    3.5 189.4  24.4 0.112  42.9
348.1  280.8 304.8   0.3 0.039  42.9
 45.3  353.1 149.1   5.3 0.024  38.4
 87.3   84.4  52.4   4.3 0.059  44.0
162.6   55.7 314.3   3.5 0.231  39.3
321.3   90.7 162.2  22.9 0.264  45.2
360.0   34.9 131.1   0.4 0.082  44.8
360.0  131.8  80.5   2.0 0.032  43.9
320.8   83.3 176.2   2.5 0.100  43.4
360.0  102.3 110.1   1.5 0.014  42.7
360.0    3.9  79.6  16.2 0.225  39.5
282.8  166.0  19.2  13.3 0.126  39.1
 29.3  336.2  35.8   8.4 0.270  39.6
216.6  185.2  80.5   5.0 0.092  43.8
 69.5  265.6  93.8  15.0 0.224  39.5
  0.1  336.9 114.8   4.4 0.113  44.6
180.6  353.7 276.9   6.3 0.135  45.5
 48.4   97.8 274.9   7.0 0.216  39.4
 53.3  331.2  67.8   2.6 0.038  42.9
 56.2   38.1 315.1   2.8 0.145  39.3
281.1   19.6 157.3   1.8 0.061  43.9
180.0   10.0 239.8  18.7 0.182  45.7
 70.9  237.7  84.6   0.9 0.064  44.8
  0.0  304.1  75.1   2.4 0.0    46.3
168.2  142.3  86.8   1.5 0.046  42.9
360.0   29.7 353.4   8.4 0.092  45.8
360.0  180.9 233.0  27.9 0.213  39.5
 15.8  105.8 296.8   1.3 0.218  39.2
360.0   17.5   4.4   1.8 0.084  45.9
342.9  259.9 171.6   2.4 0.164  42.0
 64.5  110.6 257.5  19.6 0.114  45.5
213.5  233.1 356.8   3.2 0.071  44.3
