  M    Peri. Node   Incl.  e      a 
284.8  335.6 193.3  19.6 0.073  41.3
 10.1  226.0 182.5  12.3 0.249  47.2
331.0   16.4  83.9   2.7 0.033  44.0
322.7   66.3  51.8  26.5 0.343  39.1
226.0  208.7  40.8   9.8 0.144  39.2
 50.4  335.9  66.8   8.4 0.086  44.8
  0.8   53.4 109.1   3.8 0.096  44.1
297.7  310.0 276.9   7.1 0.056  42.4
358.0  316.2  89.2  24.1 0.120  42.3
280.7   47.2 184.4  15.1 0.132  41.4
308.1   95.0 100.4  21.0 0.144  43.0
 67.6  321.5  76.5  18.2 0.176  44.0
110.1  177.2 129.7  21.4 0.083  42.3
 55.7  181.2 177.3   7.1 0.090  44.9
 27.3    7.5 125.5  13.9 0.092  36.5
316.5  262.0 201.6   1.3 0.046  43.5
 12.7  130.9 304.7   9.1 0.233  40.0
331.0   90.7 355.1   9.8 0.208  43.2
 53.4  343.6 120.2   3.0 0.057  44.1
 22.0  254.5 122.7  48.8 0.129  41.8
203.4  338.9 248.2  28.7 0.049  40.5
 18.6  175.6 197.7  33.5 0.263  39.9
354.6   30.5   8.7  12.1 0.217  46.4
233.4  172.8 350.7   7.0 0.067  43.5
 57.6   31.4 289.3   2.1 0.119  44.9
349.6   46.8   3.1  11.5 0.273  49.3
120.6   50.4 212.0  11.9 0.052  41.5
220.8  194.6 344.0   3.4 0.217  47.4
  7.6    2.8  15.3  16.0 0.332  39.4
236.0  160.0   7.0  14.6 0.172  47.5
346.0  182.3 232.0   6.9 0.213  39.2
 27.3  145.9 208.6  43.5 0.130  39.3
358.3  136.7 254.4   4.1 0.017  42.9
270.0  265.0 232.8   5.8 0.175  45.4
 30.9  347.5   3.3  10.1 0.159  39.2
306.2   86.2   5.3   8.3 0.066  42.0
344.6  166.8 244.8   4.2 0.129  43.4
 94.2   32.9 251.9   2.6 0.099  42.4
 49.5   39.2 295.5   2.3 0.067  42.5
315.5  225.3 222.4  21.1 0.093  41.2
287.2  116.6 359.0   8.4 0.071  43.7
199.2  339.9 218.0  19.5 0.096  38.0
311.7  205.8 239.5   6.0 0.032  42.7
303.2  109.9 358.3   6.9 0.143  36.2
 79.6  323.4 337.7   3.8 0.113  45.3
 89.6  282.1 353.4   4.1 0.266  39.4
337.0  123.3 308.8   2.6 0.209  39.3
  8.2   57.3 327.8   2.6 0.048  43.1
101.4  253.1  22.5  20.7 0.169  36.2
 60.8   57.3 263.7   4.6 0.128  36.2
 28.4  347.8   4.8  10.1 0.226  39.3
352.0  161.5 252.4   4.3 0.293  39.4
 47.5   49.9 287.4   3.4 0.095  48.5
 62.5  289.3   3.9   7.2 0.326  47.7
  8.1  153.5 231.9   9.0 0.095  38.7
128.0  347.6 266.3   4.2 0.130  43.5
230.5  193.0 339.5   3.4 0.131  42.2
 46.2  328.9   7.9   6.8 0.122  39.4
338.4   46.9  18.5  24.1 0.169  45.6
  4.7  117.7 271.3   4.9 0.287  39.1
336.7  168.0 255.8   5.1 0.138  46.3
306.8  233.5 221.5  13.9 0.092  42.7
 15.0   82.4 282.5   3.1 0.323  47.3
351.6   40.9   8.3  12.6 0.216  39.3
252.8  149.9 353.7   5.5 0.048  44.7
188.1  353.2 210.9  29.6 0.040  38.5
357.2  253.2 139.6   4.9 0.106  35.0
103.5  154.3 104.9   3.5 0.171  42.2
357.3  266.1 167.2  15.3 0.222  39.3
  9.0  329.3  81.8   3.9 0.261  47.6
280.5  179.4 318.1  11.0 0.116  46.5
194.6  222.4  16.8   1.9 0.055  44.2
271.9  351.4 178.9  18.4 0.086  40.6
330.5  226.6 253.2   7.3 0.108  41.9
265.4  332.6 174.4  27.2 0.128  45.2
119.9  127.7  65.0  32.0 0.110  40.7
 52.2  164.1 161.8  28.8 0.189  44.7
158.5  266.2  52.8   1.7 0.009  42.9
 27.3   23.2  65.4   1.3 0.063  44.0
355.9  328.8  50.2  19.1 0.172  45.3
 37.3  139.8 219.3   9.3 0.104  42.0
154.2  333.2 337.1  14.9 0.255  43.5
  2.9    9.3  42.4  19.2 0.202  40.8
352.7  218.0 201.5  21.9 0.102  40.3
 73.6  228.2 106.6   0.9 0.016  42.7
340.9  306.1 120.8  16.4 0.308  48.6
 35.1  264.5  98.2  17.9 0.074  40.3
105.5  212.9  66.3  29.9 0.110  42.9
332.3  268.8 171.7  32.1 0.215  43.0
159.3   30.4 149.1  35.8 0.227  44.9
